N , Gamma
1 , -0.000265601
2 , -8.17207e-05
3 , -1.8514e-05
4 , 4.60144e-06
5 , 1.24517e-05
6 , 1.76215e-05
7 , 2.72742e-05
8 , 3.19023e-05
9 , 3.55757e-05
10 , 4.53156e-05
11 , 4.32999e-05
12 , 3.96366e-05
13 , 3.64023e-05
14 , 3.45705e-05
15 , 3.64533e-05
16 , 3.67489e-05
17 , 3.73701e-05
18 , 4.22119e-05
19 , 4.10224e-05
20 , 3.88451e-05
21 , 3.68101e-05
22 , 3.56075e-05
23 , 3.68532e-05
24 , 3.68632e-05
25 , 3.72524e-05
26 , 4.06568e-05
27 , 3.98929e-05
28 , 3.83378e-05
29 , 3.68957e-05
30 , 3.59851e-05
31 , 3.694e-05
32 , 3.68708e-05
33 , 3.71523e-05
34 , 3.97657e-05
35 , 3.92011e-05
36 , 3.80078e-05
37 , 3.68652e-05
38 , 3.62455e-05
39 , 3.6877e-05
40 , 3.67603e-05
41 , 3.70028e-05
42 , 3.91587e-05
43 , 3.86974e-05
44 , 3.77681e-05
45 , 3.67705e-05
46 , 3.62719e-05
47 , 3.68237e-05
48 , 3.66589e-05
49 , 3.69755e-05
50 , 3.86745e-05
